"index";"jogoMiolosDesigner"
1134;"Haim Shafir"
1135;"Cédric Millet"
1136;"Robert Dijkman Dulkes"
1137;"Thomas Spitzer"
1139;"Tony Boydell"
1140;"Stan Kordonskiy"
1141;"Keren Philosophales"
1143;"Tony Go"
1148;"Luish Moraes Coelho"
1150;"Jim Keifer"
1152;"Travis R. Chance"
1153;"Brian Hersch"
1154;"Copag"
1156;"Edgar Cayce"
1157;"Shane Steely"
1160;"Peter Wichmann"
1161;"Marco Ruskowski"
1163;"Giancarlo Fioretti"
1164;"Alexandre Grilo"
1165;"Philip duBarry"
1167;"Günter Cornett"
1169;"Big Bocca"
1170;"Yan Egorov"
1171;"Chuck Kallenbach"
1172;"Ed Marriott"
1174;"Bernd Eisenstein"
1177;"Jordan Comar"
1178;"Paulo Santoro"
1179;"Allan B. Calhamer"
1180;"Carsten Lauber"
1185;"Pascal Bernard"
1186;"José Alves da Silva Junior"
1191;"Jonathan Ying"
1192;"Independente"
1199;"Ed Beach"
1202;"Gerd Fenchel"
1203;"Peter Prinz"
1204;"Jun Sasaki"
1205;"Karol Madaj"
1206;"Néstor Romeral Andrés"
1207;"Stefan Kloß"
1212;"Tim Fowers"
1213;"Nicolas Poncin"
1216;"Rodrigo Sampaio Rodriguez"
1217;"CD Projekt"
1220;"Marc Neidlinger"
1222;"Mirko Marchesi"
1223;"Jo Hartwig"
1224;"Doug Kaufman"
1228;"Alex Cutler"
1229;"Yu-Chen Tseng"
1234;"Florian Fay"
1236;"Brent Beck"
1240;"Louis Malz"
1248;"Michał Jagodziński"
1249;"Vojkan Krstevski"
1252;"JG Guimarães"
1255;"Nicolas De Oliveira"
1256;"Ian Brody"
1257;"David Parlett"
1264;"Piotr Haraszczak"
1266;"Larry Harris, Jr."
1267;"Thomas Liesching"
1271;"Fernando Kornijezuk"
1274;"Josh Dillon"
1277;"Ramsés Sohn"
1279;"Philippe des Pallières"
1280;"Jason Slingerland"
1281;"Richard Sivél"
1282;"Forest Brown"
1285;"Gil Hova"
1286;"Fernando Henrique Pereira Batista"
1288;"Doug Reuter"
1290;"Robert A. Kouba"
1291;"Jason Kotarski"
1293;"Fabiano Saccol"
1297;"Michelle Schanen"
1298;"Mark Herman"
1300;"Josh Wood"
1304;"Javier Garcia"
1307;"Jeff Horger"
1309;"Chico Buarque de Holanda"
1312;"Jakob Andrusch"
1318;"Arve D. Fühler"
1320;"Josep M. Allué"
1321;"Andreas Kuhnekath"
1322;"Buró Editora"
1323;"Steffen Benndorf"
1328;"Masato Uesugi"
1331;"Uai Jogos"
1332;"Claudia Partenheimer"
1333;"Łukasz Woźniak"
1335;"Fabian Balbinot"
1336;"Julián Chab"
1337;"Martino Chiacchiera"
1338;"Laurent Pouchain"
1341;"Johnny Dias"
1342;"Joshua Buergel"
1355;"Phil Eklund"
1356;"Charlie Cleveland"
1357;"Scott Petersen"
1360;"Greg Daigle"
1364;"Gabriele Bubola"
1366;"Daniel Solis"
1380;"Daniel Windfeld Schmidt"
1383;"Rodrigo Zaramella"
1385;"Susumu Kawasaki"
1387;"Jordan Goddard"
1388;"Jacob Jaskov"
1389;"Monte Cook"
1390;"Merle Robbins"
1391;"Wolfgang Riedesser"
1392;"Claudia Hely"
1394;"Maiko Fujita"
1399;"Lorenzo Grando Razzera"
1402;"Bartosz Idzikowski"
1403;"Craig Van Ness"
1404;"Projekt Team III"
1406;"Nicolas Normandon"
1407;"Dan Hallagan"
1409;"Henrik Berg"
1411;"J. H. G. Hendriks"
1418;"Ramy Badie"
1419;"Nicola Berger"
1420;"John W. Mollett"
1421;"Minha Avaliação: -"
1435;"Jan Březina"
1440;"Max J. Kobbert"
1442;"Rob Angel"
1444;"Tylar Allinder"
1445;"Shannon Kelly"
1450;"Dimitry Davidoff"
1451;"Kevin Barrett"
1452;"Malte Kühle"
1454;"Edward Chan"
