"index";"jogoMiolosArtista"
1798;"Maichol Quinto"
1802;"Friedemann Bochow"
1803;"Asmodee"
1805;"Marco Souza"
1809;"Julio Cesar"
1810;"Nordan Manz"
1811;"Ace Studios"
1814;"Gavin Birnbaum"
1815;"Chili Spiele"
1819;"Jesse Riggle"
1820;"Andy Brase"
1823;"Christoph Clasen"
1824;"Alvin Madden"
1828;"Enrique Fernández Peláez"
1830;"Fireside Games"
1831;"Talismã Editora"
1838;"Maria Marin"
1839;"Deep Water Games"
1840;"Fast Forward Design"
1845;"Steve Tse"
1846;"Kali Fitzgerald"
1850;"Moaideas Game Design"
1854;"Werther Dell’Edera"
1857;"Tohru Adumi"
1863;"Annette Nora Kara"
1866;"Gérard Mathieu"
1870;"Space Cowboys"
1871;"Cryptozoic Entertainment"
1872;"Breaking Games"
1874;"Rei Konno"
1880;"Salvador Larroca"
1882;"Jakub Fajtanowski"
1884;"Chip Cole"
1885;"Markus Günther"
1888;"Irina Pechenkina"
1891;"Kenneth Spond"
1893;"Carol LaGrow"
1896;"Lucas Machado Rodrigues"
1901;"Marília Nascimento"
1902;"Justin De Witt"
1904;"Leri Greer"
1909;"Rosengarten"
1911;"Patrick Rennwanz"
1913;"Tony Moore"
1921;"Daniela (iella) Attard"
1924;"Rebecca Guay-Mitchell"
1927;"Vanessa Prezoto"
1928;"Christina Gugliada"
1929;"Hans Janssen"
1930;"Lamaro Smith"
1940;"Paweł Niziołek"
1943;"Sergi Marcet"
1947;"Guillaume Blossier"
1952;"Ian Rosenthaler"
1957;"Andrea Hofbeck"
1958;"João Zod"
1960;"Steve Fastner"
1964;"Samuel Strick"
1965;"Inka Brand"
1969;"Lea Fröhlich"
1971;"Eduardo Bertone"
1974;"Sergio Chaves"
1975;"Donato Giancola"
1977;"Natalie Dombois"
1978;"Urs Waldvogel"
1979;"Pierre Jacquot"
1983;"Banu Andaru"
1985;"Nephyla"
1990;"Luís Levy Lima"
1991;"Tommy Lee Edwards"
1997;"Aaron Nakahara"
1998;"Claude Monet"
1999;"Chad McCullen"
2000;"Björn Pertoft"
2005;"Manny Trembley"
2006;"Emyr Lima"
2008;"Kouji Ogata"
2009;"Kristian Fosh"
2015;"Denis Martynets"
2018;"Steve Jackson Games"
2020;"Sabine Kondirolli"
2024;"Jason Caffoe"
2026;"Christine Alcouffe"
2031;"Atanas Lozanski"
2032;"Nikola Matkovic"
2033;"Pais & Filhos"
2034;"Maxime Estoppey"
2039;"David Prieto"
2040;"John Kamacher"
2041;"Chris Borges"
2044;"Florian de Gesincourt"
2046;"Katie Khau"
2048;"Emiko Hayashi"
2049;"Jean Frédéric Bazille"
2050;"Chris Raimo"
2051;"Doug Woolsey"
2060;"Stephen K. Ratter"
2061;"Steve Noon"
2062;"Herman Haverkort"
2065;"David J. Coffey"
2066;"Jacques Bredy"
2067;"Chuy de Leon"
2069;"Eduardo Santini"
2073;"Rose Besch"
2076;"Michael Klarfeld"
2077;"Helen Zhu"
