"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"711";"711º";"Indian Summer";7.43;7.63;273;"https://ludopedia.com.br/jogo/indian-summer"
"712";"712º";"A Tale of Pirates";7.43;7.77;153;"https://ludopedia.com.br/jogo/a-tale-of-pirates"
"713";"713º";"Krosmaster Arena 2.0";7.43;7.63;267;"https://ludopedia.com.br/jogo/krosmaster-arena-2-0"
"714";"714º";"Space Alert";7.43;7.7;191;"https://ludopedia.com.br/jogo/space-alert"
"715";"715º";"Colosseum";7.43;7.83;129;"https://ludopedia.com.br/jogo/colosseum"
"716";"716º";"Tiny Epic Quest";7.43;7.8;142;"https://ludopedia.com.br/jogo/tiny-epic-quest"
"717";"717º";"Stella: Universo Dixit";7.43;8.13;74;"https://ludopedia.com.br/jogo/stella-dixit-universe"
"718";"718º";"Santiago de Cuba";7.43;7.82;134;"https://ludopedia.com.br/jogo/santiago-de-cuba"
"719";"719º";"Metro";7.42;7.6;300;"https://ludopedia.com.br/jogo/metro"
"720";"720º";"DP6 - Deepsix";7.42;8.44;51;"https://ludopedia.com.br/jogo/dp6-deepsix"
"721";"721º";"Legend of the Five Rings: The Card Game";7.42;8.16;70;"https://ludopedia.com.br/jogo/legend-of-the-five-rings-the-card-game"
"722";"722º";"Dungeons & Dragons: Temple of Elemental Evil Board Game";7.42;8.55;46;"https://ludopedia.com.br/jogo/dungeons-dragons-temple-of-elemental-evil-board-game"
"723";"723º";"Concept";7.42;7.48;916;"https://ludopedia.com.br/jogo/concept"
"724";"724º";"Ancient Terrible Things";7.42;7.74;164;"https://ludopedia.com.br/jogo/ancient-terrible-things"
"725";"725º";"XCOM: The Board Game";7.42;7.52;534;"https://ludopedia.com.br/jogo/xcom-the-board-game"
"726";"726º";"1846: The Race for the Midwest";7.42;8.38;54;"https://ludopedia.com.br/jogo/1846-the-race-for-the-midwest"
"727";"727º";"Cidades Sombrias: Salem 1692";7.42;8.28;60;"https://ludopedia.com.br/jogo/salem-1692"
"728";"728º";"Deus";7.42;7.78;144;"https://ludopedia.com.br/jogo/deus"
"729";"729º";"Arkham Horror: Hora Final";7.42;7.94;98;"https://ludopedia.com.br/jogo/arkham-horror-final-hour"
"730";"730º";"Agricola: All Creatures Big and Small";7.42;7.88;111;"https://ludopedia.com.br/jogo/agricola-all-creatures-big-and-small"
"731";"731º";"Tide of Iron";7.42;8.35;55;"https://ludopedia.com.br/jogo/tide-of-iron"
"732";"732º";"Maharaja: The Game of Palace Building in India";7.42;7.98;91;"https://ludopedia.com.br/jogo/maharaja-the-game-of-palace-building-in-india"
"733";"733º";"KeyForge: Colisão entre Mundos";7.41;8.1;75;"https://ludopedia.com.br/jogo/keyforge-worlds-collide"
"734";"734º";"Imagine";7.41;7.51;521;"https://ludopedia.com.br/jogo/imagine"
"735";"735º";"Saint Petersburg";7.41;7.81;129;"https://ludopedia.com.br/jogo/saint-petersburg"
"736";"736º";"A Rota do Vidro";7.41;8.12;73;"https://ludopedia.com.br/jogo/glass-road"
"737";"737º";"Dominant Species: Marine";7.41;8.73;39;"https://ludopedia.com.br/jogo/dominant-species-marine"
"738";"738º";"Timeline: Brasil";7.41;7.7;175;"https://ludopedia.com.br/jogo/timeline-brasil"
"739";"739º";"Pandemic Legacy: Season 0";7.41;8.79;37;"https://ludopedia.com.br/jogo/pandemic-legacy-season-0"
"740";"740º";"Not Alone";7.41;7.7;173;"https://ludopedia.com.br/jogo/not-alone"
"741";"741º";"Aeon's End";7.41;8.47;48;"https://ludopedia.com.br/jogo/aeon-s-end"
"742";"742º";"Taverna";7.4;7.62;232;"https://ludopedia.com.br/jogo/taverna"
"743";"743º";"Paris: La Cité de la Lumière";7.4;7.97;90;"https://ludopedia.com.br/jogo/paris-la-cite-de-la-lumiere"
"744";"744º";"Cosmic Encounter";7.4;7.61;248;"https://ludopedia.com.br/jogo/cosmic-encounter"
"745";"745º";"Coffee Traders";7.4;8.64;41;"https://ludopedia.com.br/jogo/coffee-traders"
"746";"746º";"Viral";7.4;7.61;238;"https://ludopedia.com.br/jogo/viral"
"747";"747º";"Marrakech ";7.39;7.75;144;"https://ludopedia.com.br/jogo/marrakech-suleika"
"748";"748º";"Boss Monster: The Dungeon Building Card Game";7.39;7.48;594;"https://ludopedia.com.br/jogo/boss-monster-the-dungeon-building-card-game"
"749";"749º";"Nosferatu";7.39;7.48;546;"https://ludopedia.com.br/jogo/nosferatu"
"750";"750º";"Kingdom Builder";7.39;7.54;340;"https://ludopedia.com.br/jogo/kingdom-builder"
"751";"751º";"RoboRally";7.39;7.87;104;"https://ludopedia.com.br/jogo/roborally"
"752";"752º";"Sator Arepo Tenet Opera Rotas: Malleus Maleficarum";7.39;7.99;84;"https://ludopedia.com.br/jogo/sator-arepo-tenet-opera-rotas-malleus-maleficarum"
"753";"753º";"A Ilha Proibida";7.39;7.43;1289;"https://ludopedia.com.br/jogo/forbidden-island"
"754";"754º";"RPGQuest Dungeons";7.39;8.44;48;"https://ludopedia.com.br/jogo/rpgquest-dungeons"
"755";"755º";"Chinatown";7.38;8.24;59;"https://ludopedia.com.br/jogo/chinatown"
"756";"756º";"CO2";7.38;7.98;85;"https://ludopedia.com.br/jogo/co2"
"757";"757º";"Junk Art";7.38;8.31;54;"https://ludopedia.com.br/jogo/junk-art"
