"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1083";"1083º";"Arkwright";7.09;8.14;38;"https://ludopedia.com.br/jogo/arkwright"
"1084";"1084º";"Manila";7.09;7.4;130;"https://ludopedia.com.br/jogo/manila"
"1085";"1085º";"Disney Villainous: Perfectly Wretched";7.09;8.9;22;"https://ludopedia.com.br/jogo/disney-villainous-perfectly-wretched"
"1086";"1086º";"Castell";7.09;8.33;32;"https://ludopedia.com.br/jogo/castell"
"1087";"1087º";"Quartz: O Jogo de Dados";7.09;8.03;42;"https://ludopedia.com.br/jogo/quartz-o-jogo-de-dados"
"1088";"1088º";"Speed Cups";7.09;7.91;48;"https://ludopedia.com.br/jogo/speed-cups"
"1089";"1089º";"Tokaido: Collector's Edition";7.08;8.16;37;"https://ludopedia.com.br/jogo/tokaido-collector-s-edition"
"1090";"1090º";"The Estates";7.08;8.05;41;"https://ludopedia.com.br/jogo/the-estates"
"1091";"1091º";"Treta do anzol";7.08;8.03;42;"https://ludopedia.com.br/jogo/treta-do-anzol"
"1092";"1092º";"Istanbul: Jogo de Dados";7.08;8.07;40;"https://ludopedia.com.br/jogo/istanbul-the-dice-game"
"1093";"1093º";"Galaxy Defenders";7.08;8.1;39;"https://ludopedia.com.br/jogo/galaxy-defenders"
"1094";"1094º";"Dead Man's Doubloons: Edição de Luxo ";7.08;8.12;38;"https://ludopedia.com.br/jogo/dead-man-s-doubloons-edicao-de-luxo"
"1095";"1095º";"Dungeon Raiders";7.08;7.31;169;"https://ludopedia.com.br/jogo/dungeon-raiders"
"1096";"1096º";"Chimera Station";7.08;7.77;57;"https://ludopedia.com.br/jogo/chimera-station"
"1097";"1097º";"Shakespeare: Sonhos de um Bardo";7.08;8.09;39;"https://ludopedia.com.br/jogo/shakespeare-sonhos-de-um-bardo"
"1098";"1098º";"The Magnificent";7.08;8.35;31;"https://ludopedia.com.br/jogo/the-magnificent"
"1099";"1099º";"Lobisomem por uma noite: Monstros";7.08;7.24;239;"https://ludopedia.com.br/jogo/one-night-werewolf-monster"
"1100";"1100º";"Black Gold";7.08;7.99;43;"https://ludopedia.com.br/jogo/black-gold"
"1101";"1101º";"Stroganov";7.08;8.23;34;"https://ludopedia.com.br/jogo/stroganov"
"1102";"1102º";"Penny Press";7.08;7.93;46;"https://ludopedia.com.br/jogo/penny-press"
"1103";"1103º";"Histórias Sinistras 3";7.07;7.3;173;"https://ludopedia.com.br/jogo/black-stories-3"
"1104";"1104º";"Tichu";7.07;7.5;92;"https://ludopedia.com.br/jogo/tichu"
"1105";"1105º";"Walk the Plank: Deluxe Edition";7.07;7.53;87;"https://ludopedia.com.br/jogo/walk-the-plank-deluxe-edition"
"1106";"1106º";"World of Warcraft: O Jogo de Aventura";7.07;7.47;99;"https://ludopedia.com.br/jogo/world-of-warcraft-the-adventure-game"
"1107";"1107º";"Stone Age: Anniversary";7.07;8.48;28;"https://ludopedia.com.br/jogo/stone-age-anniversary"
"1108";"1108º";"Pablo (Primeira Edição)";7.07;7.2;319;"https://ludopedia.com.br/jogo/pablo-primeira-edicao"
